"TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"Commercial Break and Enter",2014,1,"1100 GRANT ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1400 BARCLAY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"600 ABBOTT ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 E 10TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 MILROSS AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2600 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"POWELL ST / RAYMUR AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1900 PINE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1400 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"300 E 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 W 15TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"200 E 2ND AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2400 HEMLOCK ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 W 5TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1700 W 4TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 KEEFER PL",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 HARO ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2100 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1200 HARO ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1000 E 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"5200 HEATHER ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 RAILWAY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"4400 DUNBAR ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"4400 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2000 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"800 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"4200 ARBUTUS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 E 33RD AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Over $5000",2014,1,"CULLODEN ST / E 59TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Over $5000",2014,1,"1600 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Over $5000",2014,1,"1100 HAMILTON ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Over $5000",2014,1,"COMMERCIAL DR / GRANDVIEW HWY N",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3200 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"BEACH AVE / DENMAN ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 ALEXANDER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"500 W CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3500 GRANDVIEW HWY",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"700 PRIOR ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"500 ABBOTT ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3300 WORTHINGTON DR",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"E 10TH AVE / MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"HARO ST / THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"ALBERNI ST / BUTE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2100 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1200 W 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"2600 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"100 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"ABBOTT ST / W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"3100 E 29TH AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"400 RAYMUR AVE",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1100 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"Mischief Under $5000",2014,1,"1600 MANITOBA ST",NA,NA,NA,"VANCOUVER BC"
