"","TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"239","Mischief Under $5000",2014,1,"MACDONALD ST / W 12TH AVE",NA,NA,NA,"VANCOUVER BC"
"240","Mischief Under $5000",2014,1,"2900 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"241","Mischief Under $5000",2014,1,"6600 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"242","Mischief Under $5000",2014,1,"3300 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"243","Mischief Under $5000",2014,1,"5000 SHERBROOKE ST",NA,NA,NA,"VANCOUVER BC"
"244","Mischief Under $5000",2014,1,"600 E 6TH AVE",NA,NA,NA,"VANCOUVER BC"
"245","Mischief Under $5000",2014,1,"CAMBIE ST / W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"246","Mischief Under $5000",2014,1,"E KING EDWARD AVE / SOPHIA ST",NA,NA,NA,"VANCOUVER BC"
"247","Mischief Under $5000",2014,1,"4900 ROSS ST",NA,NA,NA,"VANCOUVER BC"
"248","Mischief Under $5000",2014,1,"2200 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"249","Mischief Under $5000",2014,1,"1100 THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"250","Mischief Under $5000",2014,1,"100 E PENDER ST",NA,NA,NA,"VANCOUVER BC"
"251","Mischief Under $5000",2014,1,"2000 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"252","Mischief Under $5000",2014,1,"4900 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"253","Mischief Under $5000",2014,1,"3500 E 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"254","Mischief Under $5000",2014,1,"1100 E BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"255","Mischief Under $5000",2014,1,"600 DUNSMUIR ST",NA,NA,NA,"VANCOUVER BC"
"256","Mischief Under $5000",2014,1,"4800 DUMFRIES ST",NA,NA,NA,"VANCOUVER BC"
"257","Mischief Under $5000",2014,1,"100 KEEFER ST",NA,NA,NA,"VANCOUVER BC"
"258","Mischief Under $5000",2014,1,"E HASTINGS ST / VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"259","Mischief Under $5000",2014,1,"100 N TEMPLETON DR",NA,NA,NA,"VANCOUVER BC"
"260","Mischief Under $5000",2014,1,"BURRARD ST / DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"261","Mischief Under $5000",2014,1,"800 GILFORD ST",NA,NA,NA,"VANCOUVER BC"
"262","Mischief Under $5000",2014,1,"6200 EAST BLVD",NA,NA,NA,"VANCOUVER BC"
